Datetime,Text,Keyword,Text_Processed,Language,Text_Translated
2015-12-13 15:54:09+00:00,Bukannya dah ada RUU KUHP yg isinya ancaman pidana serius bagi setiap orang yg menghina Presiden/Wapress ya?  https://t.co/cHQkSR6WsT,RUU KUHP,sudah rancangan undang undang kuhp yang isi ancam pidana serius orang yang hina presiden wapress ya,id,There is a draft Criminal Code law which contains serious criminal threats for people who insult the Vice President
2015-12-08 16:32:54+00:00,16. Jika polisi dan jaksa tetap nekad menggunakan itu sbg bukti maka saran saya buat RUU khusus utk KUHP dan KUHAP ala rezim penguasa (JKW),RUU KUHP,16 polisi jaksa nekad sebagai bukti saran rancangan undang undang khusus untuk kuhp hap ala rezim kuasa jokowi,id,16 police prosecutors are determined to provide evidence for a special draft law for the Jokowi power regime's criminal code
2015-12-07 03:27:30+00:00,Justifikasi Filsafat Hukum RUU KUHP https://t.co/1VSAaTnHZq,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp,id,justification of legal philosophy of the draft Criminal Code law
2015-12-07 03:26:34+00:00,Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya dilandaskan pada teks s... https://t.co/WDzceRsTVP,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum landas teks si,id,"justification of legal philosophy of the draft law on the Criminal Code, the dangers of understanding the basic law of the text"
2015-12-07 03:24:32+00:00,Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya dilandaskan pada teks saja tanpa memahami baga...,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum landas teks paham baga,id,"justification of legal philosophy of the draft law of the Criminal Code, the dangers of understanding the law, the basis of the text, understanding the baga"
2015-12-07 03:14:57+00:00,Tweet News : Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya dilandaska... https://t.co/StsACPkGuK,RUU KUHP,twit news justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum dilandaska,id,"twit news justification of legal philosophy of the draft Criminal Code law, the dangers of understanding basic law"
2015-12-07 03:08:23+00:00,#iqbalap82 Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya d... https://t.co/aAlGS3Hrfy #iqbalap82,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum di,id,"justification of legal philosophy of the draft law on the Criminal Code, the dangers of understanding the law in"
2015-12-07 03:05:09+00:00,new Justifikasi Filsafat Hukum RUU KUHP https://t.co/aiBkNz29TK #rayi_devilbats,RUU KUHP,new justifikasi filsafat hukum rancangan undang undang kuhp,id,new justification of legal philosophy of the draft Criminal Code law
2015-12-07 02:54:07+00:00,[ NEWS ] Justifikasi Filsafat Hukum RUU KUHP https://t.co/lo0fTKY0jx #GaleriBerita,RUU KUHP,news justifikasi filsafat hukum rancangan undang undang kuhp,id,news justification of legal philosophy of the draft Criminal Code law
2015-12-07 02:49:25+00:00,#BNNews Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya dilandaskan pada teks saja tanpa memah...,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum landas teks pah,id,"justification of legal philosophy of the draft law on the Criminal Code, the dangers of understanding the legal basis of the pah text"
2015-12-07 02:47:35+00:00,Justifikasi Filsafat Hukum RUU KUHP https://t.co/XEYiS8XG1M â¢ News Detik,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp news detik,id,Justification of legal philosophy of draft law Criminal Code News detik
2015-12-07 02:47:20+00:00,#news Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya dilandaskan pada ...  https://t.co/00h0nwbsBV,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum landas,id,"justification of legal philosophy of the draft Criminal Code law, the dangers of basic legal understanding"
2015-12-07 02:47:04+00:00,RT @SEBHEUPDATE: Justifikasi Filsafat Hukum RUU KUHP https://t.co/2PSaXBxYUk #SEBHEUPDATE,RUU KUHP,rt justifikasi filsafat hukum rancangan undang undang kuhp,id,rt justification of legal philosophy of the draft Criminal Code law
2015-12-07 02:46:19+00:00,Justifikasi Filsafat Hukum RUU KUHP: Akan sangat berbahaya kalau pemahaman hukum hanya dilandaskan p... https://t.co/eLvB5MkAYv #FollowMe,RUU KUHP,justifikasi filsafat hukum rancangan undang undang kuhp bahaya paham hukum landas p,id,"justification of legal philosophy of the draft law on the Criminal Code, the dangers of basic legal understanding p"
2015-12-06 09:22:05+00:00,#Kom3 Rapat Lanjutan Panja RUU KUHP (Desember 2015) oleh @ani_hard1991 dan @M_FajarH https://t.co/IT7elH5BfM,RUU KUHP,rapat panja rancangan undang undang kuhp desember 2015,id,December 2015 criminal code draft committee meeting
2015-12-06 09:14:05+00:00,Chirpified: #Kom3 Rapat Lanjutan Panja RUU KUHP (Desember 2015) oleh @ani_hard1991 dan @M_FajarH https://t.co/iBAok8Ksy7,RUU KUHP,chirpified rapat panja rancangan undang undang kuhp desember 2015,id,chirpified the committee meeting for the draft criminal code law December 2015
2015-12-03 14:58:57+00:00,#Kom3 rapat panja ruu kuhp ditutup pukul 16.53wib.,RUU KUHP,rapat panja rancangan undang undang kuhp tutup 16 53wib,id,meeting of the committee on the draft criminal code law closes 16 53 WIB
2015-12-03 10:15:15+00:00,"Tarik Ulur Aturan Hukuman Mati dalam RUU KUHP #Lekslawyer #Jakarta #Law #Firm #RUU #KUHP #Mati 
https://t.co/9Nd4Hpdp05",RUU KUHP,tarik ulur atur hukum mati rancangan undang undang kuhp,id,tug-of-war on the death penalty draft of the Criminal Code
2015-12-03 07:04:03+00:00,@WikiDPR #kom3 rapat panja dgn Deputi Perundang2an @Humas_Kumham membahas RUU KUHP dijadwalkan pukul 14.00 WIB,RUU KUHP,rapat panja dengan deputi perundang2an bahas rancangan undang undang kuhp jadwal 14 00 waktu indonesia bagian barat,id,working committee meeting with legislative deputies to discuss draft criminal code law schedule 14 00 western Indonesian time
2015-12-03 02:25:37+00:00,"Agenda DPR, Kamis (03/12/2015): 8) Pukul 14.00 WIB, Komisi III Rapat Panja RUU KUHP dengan pemerintah. #agendaDPR",RUU KUHP,agenda dewan perwakilan rakyat kamis 03 12 2015 8 14 00 waktu indonesia bagian barat komisi iii rapat panja rancangan undang undang kuhp perintah,id,agenda of the people's representative council Thursday 03 12 2015 8 14 00 western Indonesia time commission iii working committee meeting draft law criminal code orders
2015-12-02 08:10:13+00:00,Romo magnis: pengertian penghinaan dalam RUU KUHP harus jelas..,RUU KUHP,romo magnis mengerti hina rancangan undang undang kuhp,id,Father Magnis understands the despicable nature of the draft Criminal Code law
2015-12-02 07:57:47+00:00,Semua isu dan perkembangan advokasi RUU KUHP bisa melihat situs https://t.co/wWZG6cx0Lc,RUU KUHP,isu kembang advokasi rancangan undang undang kuhp lihat situs,id,the issue of developing advocacy for the draft criminal code law see the site
2015-12-02 07:39:08+00:00,Wildan (abi): kita perlu membuat langkah konkrit seperti membuat petisi dan somasi. Bahwa kita kurang setuju dengan content RUU KUHP,RUU KUHP,wildan abi langkah konkret petisi somasi tuju content rancangan undang undang kuhp,id,wildan abi concrete steps for a subpoena petition aimed at the content of the draft criminal code law
2015-12-02 07:39:06+00:00,Suprih (penghayat): Kelompok agama harus ikut aktif mengawal RUU KUHP ini.,RUU KUHP,suprih hayat kelompok agama aktif kawal rancangan undang undang kuhp,id,Suprih Hayat religious groups are actively monitoring the draft Criminal Code law
2015-12-02 06:52:39+00:00,Isnur: RUU KUHP masih menganggap ada agama sah dan tidak sah.,RUU KUHP,isnur rancangan undang undang kuhp anggap agama sah sah,id,The provisions of the draft Criminal Code law consider religion to be valid
2015-12-02 06:48:35+00:00,Isnur: tim perancang RUU KUHP banyak yg konservatif,RUU KUHP,isnur tim rancang rancangan undang undang kuhp yang konservatif,id,Instructor of the team drafting a conservative draft law on the Criminal Code
2015-12-02 06:40:58+00:00,Siang ini di ICRP akan berlangsung diskusi soal RUU KUHP. Dg narasumber M. ISNUR (LBH Jakarta),RUU KUHP,siang icrp langsung diskusi rancangan undang undang kuhp dengan narasumber sama isnur lebih jakarta,id,"In the afternoon, ICRP immediately discussed the draft Criminal Code Law with sources from the Greater Jakarta Institute"
2015-12-02 06:40:58+00:00,Isnur sdg memaparkan update RUU KUHP https://t.co/Hm8XBFzQ1u,RUU KUHP,isnur sedang papar pembaruan rancangan undang undang kuhp,id,Isnur is presenting an update on the draft Criminal Code law
2015-12-01 04:04:06+00:00,Menunggu Political Will dalam Pengesahan RUU KUHP https://t.co/DLCQOnntgV https://t.co/6JTLafF1Y6,RUU KUHP,tunggu politik will sah rancangan undang undang kuhp,id,Wait for politics to pass the draft Criminal Code law
2015-12-01 02:07:38+00:00,"Agenda DPR, Selasa (01/12/2015): 5) Pukul 10.00 WIB, Komisi III Rapat Panja RUU KUHP. #agendaDPR",RUU KUHP,agenda dewan perwakilan rakyat selasa 01 12 2015 5 10 00 waktu indonesia bagian barat komisi iii rapat panja rancangan undang undang kuhp,id,agenda of the people's representative council tuesday 01 12 2015 5 10 00 western indonesia time commission iii working committee meeting draft criminal code
2015-11-30 14:42:39+00:00,Semangat Hukum Adat Dalam RUU KUHP Nasional https://t.co/9uSUjyUkxM via @kanalhukum,RUU KUHP,semangat hukum adat rancangan undang undang kuhp nasional via,id,spirit of customary law draft national criminal code via
2015-11-30 07:10:04+00:00,Tauequrachman Ruki Meminta agar Delik Korupsi tidak Dimasukkan ke RUU KUHP https://t.co/laespK2JQG,RUU KUHP,tauequrachman ruki delik korupsi masuk rancangan undang undang kuhp,id,tauequrachman ruki corruption offenses included in draft criminal code law
2015-11-30 03:56:49+00:00,2 delegasi @fkmialmizan1 audiensi ke DPR RI tentang RUU KUHP yg di nilai 19 Universitas dari FORDAFHIâ¦ https://t.co/Qmb4K5M0gG,RUU KUHP,2 delegasi audiensi dewan perwakilan rakyat ri rancangan undang undang kuhp yang nilai 19 universitas fordafhi,id,2 delegates to hear the draft of the Indonesian People's Representative Council on the Draft Criminal Code Law with a score of 19 Fordafhi University
2015-11-30 03:27:09+00:00,Tidak Sepakat Delik Korupsi Masuk RUU KUHP https://t.co/laespK2JQG https://t.co/iYTazSLXRw,RUU KUHP,sepakat delik korupsi masuk rancangan undang undang kuhp,id,agreed that corruption offenses should be included in the draft criminal code law
2015-11-30 02:49:58+00:00,Pidana Masih Ditempatkan Sebagai ÂSenjata UtamaÂ: Medan (SIB)- Penyusunan konsep RUU KUHP diinisiasi dari adan... https://t.co/LGKlQADUWT,RUU KUHP,pidana senjata utama medan sip susun konsep rancangan undang undang kuhp inisiasi adan,id,Main weapon crime Medan Sip draft draft Criminal Code Law Initiating Adan
2015-11-29 08:17:36+00:00,"- Target Komisi III DPR, Selesaikan RUU KUHP Sebelum Agustus 2016 https://t.co/AUyrFw7I19",RUU KUHP,target komisi iii dewan perwakilan rakyat selesai rancangan undang undang kuhp agustus 2016,id,The target of Commission III of the People's Representative Council is to complete the draft Criminal Code Law in August 2016
2015-11-29 07:59:10+00:00,@info -  Komisi III DPR Targetkan RUU KUHP Rampung Agustus 2016,RUU KUHP,komisi iii dewan perwakilan rakyat target rancangan undang undang kuhp rampung agustus 2016,id,Commission III of the People's Representative Council targets the draft law on the Criminal Code to be completed in August 2016
2015-11-29 07:33:01+00:00,"Pikiran Rakyat OL Komisi III DPR Targetkan RUU KUHP Rampung Agustus 2016: POLITIKJAKARTA, ... https://t.co/lGkaQ7gqta RT PikiranRakyat77 #â¦",RUU KUHP,pikir rakyat online komisi iii dewan perwakilan rakyat target rancangan undang undang kuhp rampung agustus 2016 politikjakarta rt pikiranrakyat77,id,Thought of the People Online Commission III People's Representative Council target for Draft Law on Criminal Code to be completed in August 2016 Politikjakarta RT Mindrakyat77
2015-11-29 07:19:22+00:00,"POLITIKJAKARTA, (PRLM).- Komisi III DPR RI menargetkan RUU KUHP bisa rampung sebelum 17 Agustus 2016 mendatang.
Â  https://t.co/FaqGjnbdup",RUU KUHP,politikjakarta prlm komisi iii dewan perwakilan rakyat ri target rancangan undang undang kuhp rampung 17 agustus 2016,id,Politikjakarta PRLM Commission III Indonesian People's Representative Council Targets Draft Law on Criminal Code to be completed on August 17 2016
2015-11-29 07:19:21+00:00,"Komisi III DPR Targetkan RUU KUHP Rampung Agustus 2016: POLITIKJAKARTA, (PRLM).- Komisi III DPR RI menargetkan... https://t.co/zEZbXQAwtH",RUU KUHP,komisi iii dewan perwakilan rakyat target rancangan undang undang kuhp rampung agustus 2016 politikjakarta prlm komisi iii dewan perwakilan rakyat ri target,id,Commission III People's Representative Council Target Draft Law on Criminal Code Completed August 2016 Politikjakarta PRLM Commission III Republic of Indonesia People's Representative Council Target
2015-11-29 07:19:17+00:00,"Pikiran Rakyat OL Komisi III DPR Targetkan RUU KUHP Rampung Agustus 2016: POLITIKJAKARTA, ... https://t.co/20Bs8sME11 RT @PikiranRakyat77",RUU KUHP,pikir rakyat online komisi iii dewan perwakilan rakyat target rancangan undang undang kuhp rampung agustus 2016 politikjakarta rt,id,People's Thoughts Online Commission III House of Representatives Targets Draft Law on Criminal Code to be Completed in August 2016 Politikjakarta RT
2015-11-28 05:11:17+00:00,"Laoly didaulat menjadi pemateri dalam ""Kupas Tuntas RUU KUHP"" yang digelar oleh Gerakan Mahasiswa Kristin Indo... https://t.co/5hsdGKVoRs",RUU KUHP,laoly daulat materi kupas tuntas rancangan undang undang kuhp gelar gerak mahasiswa kristin indonesia,id,laoly daulat material thoroughly examines the draft law on the Criminal Code holding the Indonesian Kristin Student Movement
2015-11-28 03:57:05+00:00,Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP https://t.co/V06ZYzat8O https://t.co/hXLNcOmM4X,RUU KUHP,ketua ky bahas batas perkara rancangan undang undang kuhp,id,KY chairman discusses case limits for draft Criminal Code law
2015-11-28 03:47:46+00:00,"Pasal Santet Bakal Masuk dalam UU KUHP - Ketua Komisi III DPR, Aziz Syamsuddin menargetkan RUU KUHP bisa... https://t.co/mvmyEN2MG3",RUU KUHP,pasal santet masuk undang undang kuhp ketua komisi iii dewan perwakilan rakyat aziz syamsuddin target rancangan undang undang kuhp,id,"Witchcraft article included in the Criminal Code law Chairman of Commission III of the People's Representative Council, Aziz Syamsuddin, target of the draft Criminal Code law"
2015-11-28 03:40:35+00:00,Ini Cara Polri Buktikan Tindakan Penyantetan dalam RUU KUHP https://t.co/7IU4va1W1T | #situasi #nasional,RUU KUHP,kepolisian republik indonesia bukti tindak santet rancangan undang undang kuhp,id,Republic of Indonesia Police Evidence of Witchcraft Acts Draft Criminal Code Law
2015-11-28 03:25:34+00:00,Plt Ketua KPK Minta Pidana Korupsi Tak Masuk RUU KUHP https://t.co/EaTLO5609r https://t.co/aONpJHYyS3,RUU KUHP,plt ketua komisi pemberantasan korupsi pidana korupsi masuk rancangan undang undang kuhp,id,"acting chairman of the corruption eradication commission, corruption crimes are included in the draft criminal code law"
2015-11-28 03:25:34+00:00,"Bahas RUU KUHP, pimpinan Polri, KPK hingga KY hadiri diskusi Golkar https://t.co/saeCn5fCeB https://t.co/H9hdUlV7ui",RUU KUHP,bahas rancangan undang undang kuhp pimpin kepolisian republik indonesia komisi pemberantasan korupsi ky hadir diskusi golkar,id,"discuss the draft law on the Criminal Code, lead the Republic of Indonesia Police, Ky. Corruption Eradication Commission, attend the Golkar discussion"
2015-11-28 03:19:33+00:00,Revisi RUU KUHP Rampung 2016 https://t.co/munWwEneto #matatelinga,RUU KUHP,revisi rancangan undang undang kuhp rampung 2016,id,revision of the draft criminal code law was completed in 2016
2015-11-27 19:32:28+00:00,Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP: Ketua KY Suparman Marzuki meminta pemba... https://t.co/0XW5fpJjiq,RUU KUHP,ketua ky bahas batas perkara rancangan undang undang kuhp ketua ky suparman marzuki pemba,id,"KY chairman discusses case limits for draft Criminal Code law, KY chairman Suparman Marzuki Pemba"
2015-11-27 19:32:25+00:00,Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP: Ketua KY Suparman Marzuki mem... https://t.co/vEgg7a54Xf @detikcom,RUU KUHP,ketua ky bahas batas perkara rancangan undang undang kuhp ketua ky suparman marzuki mem,id,KY chairman discusses case limits for draft Criminal Code law KY chairman Suparman Marzuki mem
2015-11-27 19:16:12+00:00,Komisi III DPR Targetkan RUU KUHP Rampung Agustus 2016: Komisi III DPR RI menargetkan RUUâ¦ https://t.co/8UcjaVctqd,RUU KUHP,komisi iii dewan perwakilan rakyat target rancangan undang undang kuhp rampung agustus 2016 komisi iii dewan perwakilan rakyat ri target rancangan undang undang,id,Commission III House of People's Representatives Target Draft Law on Criminal Code to be completed in August 2016 Commission III House of Representatives Republic of Indonesia Target Draft Law
2015-11-27 19:16:10+00:00,"Catatan Kapolri Terhadap RUU KUHP: encana parlemen merevisi KUHP, ditanggapi positif olehâ¦ https://t.co/ikYOWaOFaS",RUU KUHP,catat kepala kepolisian republik indonesia hadap rancangan undang undang kuhp encana parlemen revisi kuhp tanggap positif,id,"notes the head of the Republic of Indonesia police in facing the draft law on the Criminal Code, the parliament's plan to revise the Criminal Code has a positive response"
2015-11-27 19:05:12+00:00,Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP: Ketua KY Suparman Marzuki memi... https://t.co/jPebvRBWc9 [ NEWS ],RUU KUHP,ketua ky bahas batas perkara rancangan undang undang kuhp ketua ky suparman marzuki mem news,id,KY chairman discusses case limits for draft Criminal Code law KY chairman Suparman Marzuki mem news
2015-11-27 19:05:10+00:00,#Agribisnis14 Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP: Ketua KY Suparman Marzuki... https://t.co/SlwwJXM6Tp,RUU KUHP,ketua ky bahas batas perkara rancangan undang undang kuhp ketua ky suparman marzuki,id,"KY chairman discusses case limits for draft Criminal Code law, KY chairman Suparman Marzuki"
2015-11-27 19:04:22+00:00,Berita: Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP: Ketua KY Suparman Marzuki memin... https://t.co/hujo5T0Dv8,RUU KUHP,berita ketua ky bahas batas perkara rancangan undang undang kuhp ketua ky suparman marzuki pin,id,"news of the chairman of the ky discussing the case limits of the draft criminal law on the ky, the chairman of the ky, suparman marzuki pin"
2015-11-27 19:03:06+00:00,Komisi III DPR Targetkan RUU KUHP Rampung Agustus 2016: Komisi III DPR RI menargetkan RUU KUHP bisa rampung se... https://t.co/qUeI7uulRi,RUU KUHP,komisi iii dewan perwakilan rakyat target rancangan undang undang kuhp rampung agustus 2016 komisi iii dewan perwakilan rakyat ri target rancangan undang undang kuhp rampung,id,Commission III House of Representatives Targets Draft Law on Criminal Code to be Completed in August 2016 Commission III House of Representatives Republic of Indonesia Target Draft Law on Criminal Code Completed
2015-11-27 19:02:56+00:00,Catatan Kapolri Terhadap RUU KUHP https://t.co/WgoOH6yLYY,RUU KUHP,catat kepala kepolisian republik indonesia hadap rancangan undang undang kuhp,id,noted the head of the Republic of Indonesia police regarding the draft Criminal Code law
2015-11-27 19:02:37+00:00,"Catatan Kapolri Terhadap RUU KUHP: encana parlemen merevisi KUHP, ditanggapi positif oleh Kapolri Jenderal Bad... https://t.co/MmaQiIWjzc",RUU KUHP,catat kepala kepolisian republik indonesia hadap rancangan undang undang kuhp encana parlemen revisi kuhp tanggap positif kepala kepolisian republik indonesia jenderal bad,id,"notes the head of the police of the republic of indonesia faces the draft law on the criminal code, parliament's plans for revision of the criminal code responds positively to the head of the police of the republic of indonesia, general bad"
2015-11-27 19:02:34+00:00,Cek =&gt; https://t.co/Etxb7jXdme Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP,RUU KUHP,cek begitu ketua ky bahas batas perkara rancangan undang undang kuhp,id,Check once the chairman of the Kyrgyz Republic discusses the case limits for the draft Criminal Code law
2015-11-27 19:02:10+00:00,New post: Catatan Kapolri Terhadap RUU KUHP https://t.co/cUCA4CW7jR,RUU KUHP,new post catat kepala kepolisian republik indonesia hadap rancangan undang undang kuhp,id,new post notes the head of the police of the Republic of Indonesia facing the draft Criminal Code law
2015-11-27 19:01:59+00:00,Ketua KY: Sebaiknya Dibahas Tentang Pembatasan Perkara dalam RUU KUHP: Ketua KY Suparman Marzuki meminta pembatasan perkara dibahas d...,RUU KUHP,ketua ky bahas batas perkara rancangan undang undang kuhp ketua ky suparman marzuki batas perkara bahas di,id,Ky chairman discusses case limits for draft Criminal Code law Ky chairman Suparman Marzuki discusses case limits at
2016-12-29 10:41:15+00:00,RUU KUHP over kriminalisasi dan belum berpihak kpd perempuan #kuhp https://t.co/60M1QpLVYy,RUU KUHP,rancangan undang undang kuhp over kriminalisasi kepada perempuan,id,The draft Criminal Code law over-criminalizes women
2016-12-29 10:20:08+00:00,Warta Kiwari: Kalangan Masyarakat Desak Pasal 481 &amp; 483 RUU KUHP Dihapus https://t.co/58uRwl7bCF https://t.co/iaW2pnBwgQ,RUU KUHP,warta kiwari kalang masyarakat desak pasal 481 amp 483 rancangan undang undang kuhp hapus,id,Kiwari news among the public urges articles 481 & 483 of the draft Criminal Code to be abolished
2016-12-29 10:12:22+00:00,"""@Bisniscom: Kalangan Masyarakat Desak Pasal 481 &amp; 483 RUU KUHP Dihapus.Opini sy tdk kontra produktif justru RUU ini lbh melindungi anak2",RUU KUHP,kalang masyarakat desak pasal 481 amp 483 rancangan undang undang kuhp hapus opini saya tidak kontra produktif rancangan undang undang lebih lindung anak anak,id,"community members urge articles 481 & 483 of the draft criminal code to delete my opinion, it is not counter-productive, the draft law is more protective of children"
2016-12-29 09:51:23+00:00,Kalangan Masyarakat Desak Pasal 481 &amp; 483 RUU KUHP Dihapus https://t.co/86Jj9o0DLU #aboutBDG,RUU KUHP,kalang masyarakat desak pasal 481 amp 483 rancangan undang undang kuhp hapus,id,Community members are calling for articles 481 & 483 of the draft Criminal Code to be deleted
2016-12-29 09:49:32+00:00,Bisniscom: Kalangan Masyarakat Desak Pasal 481 &amp; 483 RUU KUHP Dihapus https://t.co/XJD9B0lGM5 https://t.co/aZINvOab5O,RUU KUHP,bisniscom kalang masyarakat desak pasal 481 amp 483 rancangan undang undang kuhp hapus,id,Bisniscom among the public urges articles 481 & 483 of the draft Criminal Code to be deleted
2016-12-28 09:33:10+00:00,Aktivis protes pemidanaan penyuluh alat kontrasepsi di RUU KUHP https://t.co/yAPRRq4GIo,RUU KUHP,aktivis protes pidana suluh alat kontrasepsi rancangan undang undang kuhp,id,Activists protest the crime of flashing contraceptives in the draft Criminal Code law
2016-12-27 15:15:06+00:00,"@adrianoqalbi iyes, dlm RUU KUHP pasal 481 dan 483. Banyak ditentang sih ini ð¹ dulu jg ada dlm KUHP sbnrnya",RUU KUHP,iyes dalam rancangan undang undang kuhp pasal 481 483 sih juga dalam kuhp sebenarnya,id,"Yes, in the draft Criminal Code Articles 481 483, it is also in the actual Criminal Code"
2016-12-26 03:51:12+00:00,RUU KUHP Masih Punya Banyak Kelemahan https://t.co/Zi3bOZRNeK https://t.co/im3LPJ4buC,RUU KUHP,rancangan undang undang kuhp lemah,id,the draft criminal code is weak
2016-12-25 23:01:28+00:00,#BaBekasihtau RUU KUHP Eksesif dan Multitafsir https://t.co/ghM1suFNos https://t.co/DZRmbg87yG,RUU KUHP,rancangan undang undang kuhp eksesif multitafsir,id,the draft law on the excessive criminal code has multiple interpretations
2016-12-24 22:45:34+00:00,"jelas bhw fatwa MUI trmsk hukum yg hidup dlm msyrkt Indoensia termsk hk adat, diakui dlm Psl 5 UU Kekuasaan Kehakiman dn Psl 2 RUU KUHP",RUU KUHP,bahwa fatwa majelis ulama indonesia termasuk hukum yang hidup dalam masyarakat indoensia termsk hk adat dalam pasal 5 undang undang kuasa hakim dan pasal 2 rancangan undang undang kuhp,id,that the fatwa of the Indonesian Ulema Council includes laws that exist in Indonesian society including customary law in article 5 of the law on the power of judges and article 2 of the draft law on the Criminal Code
2016-12-17 02:04:06+00:00,"Negara pun berniat mengatur selangkangan rakyatnya.. --&gt; Pidana 5 Tahun Bagi Lajang Berzina, Panja RUU KUHP Terpecah https://t.co/xifXKXHmz4",RUU KUHP,negara niat atur selangkang rakyat begitu pidana 5 lajang zina panja rancangan undang undang kuhp pecah,id,"The state intends to control the people's backbone once the crime of 5 singles for adultery, the Panja draft law on the Criminal Code breaks down"
